STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
SHY,2021-12-31,MATURITY,2022-02-28,37604.503,0.000,37604.503
SHY,2021-12-31,MATURITY,2022-03-15,1252.777,0.000,1252.777
SHY,2021-12-31,MATURITY,2022-03-31,22663.671,0.000,22663.671
SHY,2021-12-31,MATURITY,2022-04-18,26938.061,0.000,26938.061
SHY,2021-12-31,MATURITY,2022-05-02,80229.951,0.000,80229.951
SHY,2021-12-31,MATURITY,2022-05-16,48100.683,0.000,48100.683
SHY,2021-12-31,MATURITY,2022-05-31,80644.280,0.000,80644.280
SHY,2021-12-31,MATURITY,2022-06-15,19028.141,0.000,19028.141
SHY,2021-12-31,MATURITY,2022-06-30,53042.084,0.000,53042.084
SHY,2021-12-31,MATURITY,2022-07-15,4038.763,0.000,4038.763
SHY,2021-12-31,MATURITY,2022-08-01,18695.350,684.647,19379.997
SHY,2021-12-31,MATURITY,2022-08-15,37962.308,41.494,38003.802
SHY,2021-12-31,MATURITY,2022-08-31,37604.503,116.183,37720.685
SHY,2021-12-31,MATURITY,2022-09-15,1252.777,0.000,1252.777
SHY,2021-12-31,MATURITY,2022-09-30,22663.671,95.436,22759.107
SHY,2021-12-31,MATURITY,2022-10-17,26938.061,5780.083,32718.144
SHY,2021-12-31,MATURITY,2022-10-31,80229.951,13634.855,93864.805
SHY,2021-12-31,MATURITY,2022-11-15,48100.683,6381.743,54482.426
SHY,2021-12-31,MATURITY,2022-11-30,80644.280,37531.120,118175.400
SHY,2021-12-31,MATURITY,2022-12-15,19028.141,0.000,19028.141
SHY,2021-12-31,MATURITY,2023-01-03,53042.084,2112829.046,2165871.130
SHY,2021-12-31,MATURITY,2023-01-17,4038.763,0.000,4038.763
SHY,2021-12-31,MATURITY,2023-01-31,18688.932,3045257.261,3063946.193
SHY,2021-12-31,MATURITY,2023-02-15,37961.997,1212132.780,1250094.777
SHY,2021-12-31,MATURITY,2023-02-28,37603.507,2329469.295,2367072.801
SHY,2021-12-31,MATURITY,2023-03-15,1252.777,0.000,1252.777
SHY,2021-12-31,MATURITY,2023-03-31,22662.802,1456572.614,1479235.416
SHY,2021-12-31,MATURITY,2023-04-17,26898.323,2815211.618,2842109.942
SHY,2021-12-31,MATURITY,2023-05-01,80094.305,4858379.668,4938473.973
SHY,2021-12-31,MATURITY,2023-05-15,48048.831,1282835.685,1330884.516
SHY,2021-12-31,MATURITY,2023-05-31,80268.968,1546780.083,1627049.051
SHY,2021-12-31,MATURITY,2023-06-15,19028.141,452917.012,471945.153
SHY,2021-12-31,MATURITY,2023-06-30,32795.350,1714688.797,1747484.147
SHY,2021-12-31,MATURITY,2023-07-17,4038.763,2800734.440,2804773.203
SHY,2021-12-31,MATURITY,2023-07-31,829.323,962116.183,962945.506
SHY,2021-12-31,MATURITY,2023-08-15,12326.175,148199.170,160525.345
SHY,2021-12-31,MATURITY,2023-08-31,16593.286,8076033.195,8092626.481
SHY,2021-12-31,MATURITY,2023-09-15,1252.777,8091.286,9344.064
SHY,2021-12-31,MATURITY,2023-10-02,16313.941,1025656.846,1041970.787
SHY,2021-12-31,MATURITY,2023-10-16,23379.309,2756800.830,2780180.139
SHY,2021-12-31,MATURITY,2023-10-31,55350.402,9701655.602,9757006.004
SHY,2021-12-31,MATURITY,2023-11-15,37005.648,2257182.573,2294188.221
SHY,2021-12-31,MATURITY,2023-11-30,60845.159,1583456.017,1644301.175
SHY,2021-12-31,MATURITY,2023-12-15,18461.994,770817.427,789279.422
SHY,2021-12-31,MATURITY,2024-01-02,17222.140,2123489.627,2140711.766
SHY,2021-12-31,MATURITY,2024-01-16,2288.304,1093821.577,1096109.881
SHY,2021-12-31,MATURITY,2024-01-31,91.304,0.000,91.304
SHY,2021-12-31,MATURITY,2024-02-15,12233.550,18721.992,30955.542
SHY,2021-12-31,MATURITY,2024-02-29,9220.026,776423.237,785643.262
SHY,2021-12-31,MATURITY,2024-03-15,1247.720,996165.975,997413.696
SHY,2021-12-31,MATURITY,2024-04-01,4444.733,182024.896,186469.629
SHY,2021-12-31,MATURITY,2024-04-15,21656.308,0.000,21656.308
SHY,2021-12-31,MATURITY,2024-04-30,12768.563,665543.568,678312.132
SHY,2021-12-31,MATURITY,2024-05-15,28755.902,198709.544,227465.446
SHY,2021-12-31,MATURITY,2024-05-31,42985.206,41634.855,84620.061
SHY,2021-12-31,MATURITY,2024-06-17,17980.233,4061033.195,4079013.428
SHY,2021-12-31,MATURITY,2024-07-01,62.085,0.000,62.085
SHY,2021-12-31,MATURITY,2024-07-15,1604.665,855821.577,857426.242
SHY,2021-12-31,MATURITY,2024-07-31,91.304,8593.361,8684.665
SHY,2021-12-31,MATURITY,2024-08-15,11976.123,809107.884,821084.007
SHY,2021-12-31,MATURITY,2024-09-16,2.513,1340.249,1342.762
SHY,2021-12-31,MATURITY,2024-09-30,2510.718,236302.905,238813.623
SHY,2021-12-31,MATURITY,2024-10-15,21656.308,6930018.672,6951674.981
SHY,2021-12-31,MATURITY,2024-10-31,5425.021,482224.066,487649.087
SHY,2021-12-31,MATURITY,2024-11-15,28507.516,3179697.095,3208204.611
SHY,2021-12-31,MATURITY,2024-12-02,42568.858,5675847.718,5718416.576
SHY,2021-12-31,MATURITY,2024-12-16,12903.942,2580788.382,2593692.324
SHY,2021-12-31,MATURITY,2024-12-31,62.085,5518.672,5580.757
SHY,2021-12-31,MATURITY,2025-02-18,10214.108,1021410.788,1031624.896
