STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBTF,2021-12-31,MATURITY,2022-02-28,1519.118,0.000,1519.118
IBTF,2021-12-31,MATURITY,2022-03-31,107514.118,0.000,107514.118
IBTF,2021-12-31,MATURITY,2022-05-02,53022.941,0.000,53022.941
IBTF,2021-12-31,MATURITY,2022-05-31,6095.882,0.000,6095.882
IBTF,2021-12-31,MATURITY,2022-06-30,62950.735,0.000,62950.735
IBTF,2021-12-31,MATURITY,2022-08-01,54261.397,0.000,54261.397
IBTF,2021-12-31,MATURITY,2022-08-31,1519.118,0.000,1519.118
IBTF,2021-12-31,MATURITY,2022-09-30,107514.118,0.000,107514.118
IBTF,2021-12-31,MATURITY,2022-10-31,53022.941,0.000,53022.941
IBTF,2021-12-31,MATURITY,2022-11-30,6095.882,0.000,6095.882
IBTF,2021-12-31,MATURITY,2023-01-03,62950.735,0.000,62950.735
IBTF,2021-12-31,MATURITY,2023-01-31,54261.397,0.000,54261.397
IBTF,2021-12-31,MATURITY,2023-02-28,1519.118,0.000,1519.118
IBTF,2021-12-31,MATURITY,2023-03-31,107514.118,0.000,107514.118
IBTF,2021-12-31,MATURITY,2023-05-01,53022.941,0.000,53022.941
IBTF,2021-12-31,MATURITY,2023-05-31,6095.882,0.000,6095.882
IBTF,2021-12-31,MATURITY,2023-06-30,62950.735,0.000,62950.735
IBTF,2021-12-31,MATURITY,2023-07-31,54261.397,0.000,54261.397
IBTF,2021-12-31,MATURITY,2023-08-31,1519.118,0.000,1519.118
IBTF,2021-12-31,MATURITY,2023-10-02,107514.118,0.000,107514.118
IBTF,2021-12-31,MATURITY,2023-10-31,53022.941,0.000,53022.941
IBTF,2021-12-31,MATURITY,2023-11-30,6095.882,0.000,6095.882
IBTF,2021-12-31,MATURITY,2024-01-02,62950.735,0.000,62950.735
IBTF,2021-12-31,MATURITY,2024-01-31,54261.397,0.000,54261.397
IBTF,2021-12-31,MATURITY,2024-02-29,1519.118,0.000,1519.118
IBTF,2021-12-31,MATURITY,2024-04-01,107514.118,0.000,107514.118
IBTF,2021-12-31,MATURITY,2024-04-30,53022.941,0.000,53022.941
IBTF,2021-12-31,MATURITY,2024-05-31,6095.882,0.000,6095.882
IBTF,2021-12-31,MATURITY,2024-07-01,62950.735,0.000,62950.735
IBTF,2021-12-31,MATURITY,2024-07-31,54261.397,0.000,54261.397
IBTF,2021-12-31,MATURITY,2024-09-03,1519.118,0.000,1519.118
IBTF,2021-12-31,MATURITY,2024-09-30,107514.118,0.000,107514.118
IBTF,2021-12-31,MATURITY,2024-10-31,53022.941,0.000,53022.941
IBTF,2021-12-31,MATURITY,2024-12-02,6095.882,0.000,6095.882
IBTF,2021-12-31,MATURITY,2024-12-31,62950.735,0.000,62950.735
IBTF,2021-12-31,MATURITY,2025-01-31,54261.397,0.000,54261.397
IBTF,2021-12-31,MATURITY,2025-02-28,1519.118,235294.118,236813.235
IBTF,2021-12-31,MATURITY,2025-03-31,107514.118,3642352.941,3749867.059
IBTF,2021-12-31,MATURITY,2025-04-30,53022.941,0.000,53022.941
IBTF,2021-12-31,MATURITY,2025-06-02,6095.882,1750000.000,1756095.882
IBTF,2021-12-31,MATURITY,2025-06-30,62950.735,4578235.294,4641186.029
IBTF,2021-12-31,MATURITY,2025-07-31,54261.397,3774705.882,3828967.279
IBTF,2021-12-31,MATURITY,2025-09-02,195.588,156470.588,156666.176
IBTF,2021-12-31,MATURITY,2025-09-30,59708.235,4003411.765,4063120.000
IBTF,2021-12-31,MATURITY,2025-10-31,53022.941,3649176.471,3702199.412
IBTF,2021-12-31,MATURITY,2025-12-01,3908.382,2084470.588,2088378.971
