STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBMM,2021-12-31,WORST,2024-12-02,36342.784,1468041.237,1504384.021
IBMM,2021-12-31,MATURITY,2022-01-06,109800.258,31679.597,141479.855
IBMM,2021-12-31,MATURITY,2022-01-18,10262.887,0.000,10262.887
IBMM,2021-12-31,MATURITY,2022-02-01,84041.881,0.000,84041.881
IBMM,2021-12-31,MATURITY,2022-02-15,31801.546,0.000,31801.546
IBMM,2021-12-31,MATURITY,2022-03-01,49694.015,0.000,49694.015
IBMM,2021-12-31,MATURITY,2022-03-15,26817.010,0.000,26817.010
IBMM,2021-12-31,MATURITY,2022-04-01,61327.320,0.000,61327.320
IBMM,2021-12-31,MATURITY,2022-04-15,11121.134,0.000,11121.134
IBMM,2021-12-31,MATURITY,2022-05-02,58700.601,0.000,58700.601
IBMM,2021-12-31,MATURITY,2022-05-16,31041.237,0.000,31041.237
IBMM,2021-12-31,MATURITY,2022-06-01,77092.354,0.000,77092.354
IBMM,2021-12-31,MATURITY,2022-06-15,23240.836,0.000,23240.836
IBMM,2021-12-31,MATURITY,2022-07-01,110298.540,0.000,110298.540
IBMM,2021-12-31,MATURITY,2022-07-15,10262.887,0.000,10262.887
IBMM,2021-12-31,MATURITY,2022-08-01,84041.881,0.000,84041.881
IBMM,2021-12-31,MATURITY,2022-08-15,31801.546,0.000,31801.546
IBMM,2021-12-31,MATURITY,2022-09-01,49758.376,0.000,49758.376
IBMM,2021-12-31,MATURITY,2022-09-15,26817.010,0.000,26817.010
IBMM,2021-12-31,MATURITY,2022-10-03,61296.392,0.000,61296.392
IBMM,2021-12-31,MATURITY,2022-10-17,11121.134,0.000,11121.134
IBMM,2021-12-31,MATURITY,2022-11-01,58731.959,0.000,58731.959
IBMM,2021-12-31,MATURITY,2022-11-15,31041.237,0.000,31041.237
IBMM,2021-12-31,MATURITY,2022-12-01,76961.340,0.000,76961.340
IBMM,2021-12-31,MATURITY,2022-12-15,23023.196,0.000,23023.196
IBMM,2021-12-31,MATURITY,2023-01-03,110135.309,0.000,110135.309
IBMM,2021-12-31,MATURITY,2023-01-17,10262.887,0.000,10262.887
IBMM,2021-12-31,MATURITY,2023-02-01,84041.881,0.000,84041.881
IBMM,2021-12-31,MATURITY,2023-02-15,31801.546,0.000,31801.546
IBMM,2021-12-31,MATURITY,2023-03-01,49758.376,0.000,49758.376
IBMM,2021-12-31,MATURITY,2023-03-15,26817.010,0.000,26817.010
IBMM,2021-12-31,MATURITY,2023-04-03,61296.392,0.000,61296.392
IBMM,2021-12-31,MATURITY,2023-04-17,11121.134,0.000,11121.134
IBMM,2021-12-31,MATURITY,2023-05-01,58731.959,0.000,58731.959
IBMM,2021-12-31,MATURITY,2023-05-15,31041.237,0.000,31041.237
IBMM,2021-12-31,MATURITY,2023-06-01,76961.340,0.000,76961.340
IBMM,2021-12-31,MATURITY,2023-06-15,23023.196,0.000,23023.196
IBMM,2021-12-31,MATURITY,2023-07-03,110135.309,0.000,110135.309
IBMM,2021-12-31,MATURITY,2023-07-17,10262.887,0.000,10262.887
IBMM,2021-12-31,MATURITY,2023-08-01,84041.881,0.000,84041.881
IBMM,2021-12-31,MATURITY,2023-08-15,31801.546,0.000,31801.546
IBMM,2021-12-31,MATURITY,2023-09-01,49758.376,0.000,49758.376
IBMM,2021-12-31,MATURITY,2023-09-15,26817.010,0.000,26817.010
IBMM,2021-12-31,MATURITY,2023-10-02,61296.392,0.000,61296.392
IBMM,2021-12-31,MATURITY,2023-10-16,11121.134,0.000,11121.134
IBMM,2021-12-31,MATURITY,2023-11-01,58731.959,0.000,58731.959
IBMM,2021-12-31,MATURITY,2023-11-15,31041.237,0.000,31041.237
IBMM,2021-12-31,MATURITY,2023-12-01,76961.340,0.000,76961.340
IBMM,2021-12-31,MATURITY,2023-12-15,23023.196,0.000,23023.196
IBMM,2021-12-31,MATURITY,2024-01-02,110135.309,808247.423,918382.732
IBMM,2021-12-31,MATURITY,2024-01-16,10262.887,65463.918,75726.804
IBMM,2021-12-31,MATURITY,2024-02-01,84041.881,648453.608,732495.490
IBMM,2021-12-31,MATURITY,2024-02-15,31801.546,642268.041,674069.588
IBMM,2021-12-31,MATURITY,2024-03-01,49758.376,731443.299,781201.675
IBMM,2021-12-31,MATURITY,2024-03-15,26817.010,739690.722,766507.732
IBMM,2021-12-31,MATURITY,2024-04-01,61296.392,725257.732,786554.124
IBMM,2021-12-31,MATURITY,2024-04-15,11121.134,256185.567,267306.701
IBMM,2021-12-31,MATURITY,2024-05-01,58731.959,884020.619,942752.577
IBMM,2021-12-31,MATURITY,2024-05-15,31041.237,589690.722,620731.959
IBMM,2021-12-31,MATURITY,2024-06-01,0.000,2577.320,2577.320
IBMM,2021-12-31,MATURITY,2024-06-03,76961.340,1646391.753,1723353.093
IBMM,2021-12-31,MATURITY,2024-06-17,23023.196,963917.526,986940.722
IBMM,2021-12-31,MATURITY,2024-07-01,90599.227,3720618.557,3811217.784
IBMM,2021-12-31,MATURITY,2024-07-15,8780.928,354123.711,362904.639
IBMM,2021-12-31,MATURITY,2024-08-01,67956.186,2987113.402,3055069.588
IBMM,2021-12-31,MATURITY,2024-08-15,15912.371,740023.918,755936.289
IBMM,2021-12-31,MATURITY,2024-09-03,32116.624,1316494.845,1348611.469
IBMM,2021-12-31,MATURITY,2024-09-16,8324.742,332989.691,341314.433
IBMM,2021-12-31,MATURITY,2024-10-01,43412.371,1774742.268,1818154.639
IBMM,2021-12-31,MATURITY,2024-10-15,4905.498,214432.990,219338.488
IBMM,2021-12-31,MATURITY,2024-11-01,37332.474,1535051.546,1572384.021
IBMM,2021-12-31,MATURITY,2024-11-15,16466.495,660824.742,677291.237
IBMM,2021-12-31,MATURITY,2024-12-02,36342.784,1468041.237,1504384.021
