,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,SHV,2021-12-31,WORST,2022-01-06,0.0,-41716.607,-41716.607
1,SHV,2021-12-31,WORST,2022-01-11,0.0,3018.362,3018.362
2,SHV,2021-12-31,WORST,2022-01-18,112488.472,3905768.425,4018256.896
3,SHV,2021-12-31,WORST,2022-01-25,0.0,15846.399,15846.399
4,SHV,2021-12-31,WORST,2022-01-31,41771.794,549333.445,591105.239
5,SHV,2021-12-31,WORST,2022-02-01,0.0,5910446.885,5910446.885
6,SHV,2021-12-31,WORST,2022-02-08,0.0,25136.245,25136.245
7,SHV,2021-12-31,WORST,2022-02-15,25652.197,1914387.524,1940039.721
8,SHV,2021-12-31,WORST,2022-02-28,41480.564,47664.962,89145.526
9,SHV,2021-12-31,WORST,2022-03-01,0.0,4048964.534,4048964.534
10,SHV,2021-12-31,WORST,2022-03-10,0.0,11092730.779,11092730.779
11,SHV,2021-12-31,WORST,2022-03-17,0.0,14385478.326,14385478.326
12,SHV,2021-12-31,WORST,2022-03-31,52962.166,918663.537,971625.702
13,SHV,2021-12-31,WORST,2022-04-18,60800.977,3827416.785,3888217.762
14,SHV,2021-12-31,WORST,2022-05-02,88056.956,6701215.729,6789272.685
15,SHV,2021-12-31,WORST,2022-05-16,103532.898,9492261.256,9595794.154
16,SHV,2021-12-31,WORST,2022-05-19,0.0,6039071.015,6039071.015
17,SHV,2021-12-31,WORST,2022-05-31,42654.66,4873555.798,4916210.457
18,SHV,2021-12-31,WORST,2022-06-30,50824.112,4140982.644,4191806.757
19,SHV,2021-12-31,WORST,2022-07-15,63668.043,7276347.782,7340015.825
20,SHV,2021-12-31,WORST,2022-08-01,36621.793,3905038.987,3941660.78
21,SHV,2021-12-31,WORST,2022-08-15,1722.353,229647.019,231369.372
22,SHV,2021-12-31,WORST,2022-08-31,41063.496,5633713.423,5674776.919
23,SHV,2021-12-31,WORST,2022-09-30,44349.695,6241301.249,6285650.944
24,SHV,2021-12-31,WORST,2022-10-17,17742.538,2580732.791,2598475.329
25,SHV,2021-12-31,WORST,2022-10-31,25233.058,2601458.875,2626691.933
26,SHV,2021-12-31,WORST,2022-11-15,2751.682,338668.567,341420.249
27,SHV,2021-12-31,WORST,2023-01-03,6885.376,2967636.455,2974521.831
28,SHV,2021-12-31,MATURITY,2022-01-06,0.0,-41716.607,-41716.607
29,SHV,2021-12-31,MATURITY,2022-01-11,0.0,3018.362,3018.362
30,SHV,2021-12-31,MATURITY,2022-01-18,112488.472,3905768.425,4018256.896
31,SHV,2021-12-31,MATURITY,2022-01-25,0.0,15846.399,15846.399
32,SHV,2021-12-31,MATURITY,2022-01-31,41771.794,549333.445,591105.239
33,SHV,2021-12-31,MATURITY,2022-02-01,0.0,5910446.885,5910446.885
34,SHV,2021-12-31,MATURITY,2022-02-08,0.0,25136.245,25136.245
35,SHV,2021-12-31,MATURITY,2022-02-15,25652.197,1914387.524,1940039.721
36,SHV,2021-12-31,MATURITY,2022-02-28,41480.564,47664.962,89145.526
37,SHV,2021-12-31,MATURITY,2022-03-01,0.0,4048964.534,4048964.534
38,SHV,2021-12-31,MATURITY,2022-03-10,0.0,11092730.779,11092730.779
39,SHV,2021-12-31,MATURITY,2022-03-17,0.0,14385478.326,14385478.326
40,SHV,2021-12-31,MATURITY,2022-03-31,52962.166,918663.537,971625.702
41,SHV,2021-12-31,MATURITY,2022-04-18,60800.977,3827416.785,3888217.762
42,SHV,2021-12-31,MATURITY,2022-05-02,88056.956,6701215.729,6789272.685
43,SHV,2021-12-31,MATURITY,2022-05-16,103532.898,9492261.256,9595794.154
44,SHV,2021-12-31,MATURITY,2022-05-19,0.0,6039071.015,6039071.015
45,SHV,2021-12-31,MATURITY,2022-05-31,42654.66,4873555.798,4916210.457
46,SHV,2021-12-31,MATURITY,2022-06-30,50824.112,4140982.644,4191806.757
47,SHV,2021-12-31,MATURITY,2022-07-15,63668.043,7276347.782,7340015.825
48,SHV,2021-12-31,MATURITY,2022-08-01,36621.793,3905038.987,3941660.78
49,SHV,2021-12-31,MATURITY,2022-08-15,1722.353,229647.019,231369.372
50,SHV,2021-12-31,MATURITY,2022-08-31,41063.496,5633713.423,5674776.919
51,SHV,2021-12-31,MATURITY,2022-09-30,44349.695,6241301.249,6285650.944
52,SHV,2021-12-31,MATURITY,2022-10-17,17742.538,2580732.791,2598475.329
53,SHV,2021-12-31,MATURITY,2022-10-31,25233.058,2601458.875,2626691.933
54,SHV,2021-12-31,MATURITY,2022-11-15,2751.682,338668.567,341420.249
55,SHV,2021-12-31,MATURITY,2023-01-03,6885.376,2967636.455,2974521.831
