,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,TFLO,2021-12-31,WORST,2022-01-06,0.0,1437257.835,1437257.835
1,TFLO,2021-12-31,WORST,2022-01-31,12771.854,155294.118,168065.972
2,TFLO,2021-12-31,WORST,2022-05-02,12000.368,176676.471,188676.838
3,TFLO,2021-12-31,WORST,2022-08-01,12329.465,168455.882,180785.348
4,TFLO,2021-12-31,WORST,2022-10-31,12282.886,24927602.941,24939885.827
5,TFLO,2021-12-31,WORST,2023-01-31,5390.154,8266661.765,8272051.919
6,TFLO,2021-12-31,WORST,2023-05-01,3125.737,4539250.0,4542375.737
7,TFLO,2021-12-31,WORST,2023-07-31,2219.541,10565720.588,10567940.129
8,TFLO,2021-12-31,MATURITY,2022-01-06,0.0,1437257.835,1437257.835
9,TFLO,2021-12-31,MATURITY,2022-01-31,12771.854,155294.118,168065.972
10,TFLO,2021-12-31,MATURITY,2022-05-02,12000.368,176676.471,188676.838
11,TFLO,2021-12-31,MATURITY,2022-08-01,12329.465,168455.882,180785.348
12,TFLO,2021-12-31,MATURITY,2022-10-31,12282.886,24927602.941,24939885.827
13,TFLO,2021-12-31,MATURITY,2023-01-31,5390.154,8266661.765,8272051.919
14,TFLO,2021-12-31,MATURITY,2023-05-01,3125.737,4539250.0,4542375.737
15,TFLO,2021-12-31,MATURITY,2023-07-31,2219.541,10565720.588,10567940.129
