,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
43,SHY,2021-12-31,WORST,2023-10-16,23379.309,2756800.83,2780180.139
44,SHY,2021-12-31,WORST,2023-10-31,55350.402,9701655.602,9757006.004
45,SHY,2021-12-31,WORST,2023-11-15,37005.648,2257182.573,2294188.221
46,SHY,2021-12-31,WORST,2023-11-30,60845.159,1583456.017,1644301.175
47,SHY,2021-12-31,WORST,2023-12-15,18461.994,770817.427,789279.422
48,SHY,2021-12-31,WORST,2024-01-02,17222.14,2123489.627,2140711.766
49,SHY,2021-12-31,WORST,2024-01-16,2288.304,1093821.577,1096109.881
50,SHY,2021-12-31,WORST,2024-01-31,91.304,0.0,91.304
51,SHY,2021-12-31,WORST,2024-02-15,12233.55,18721.992,30955.542
52,SHY,2021-12-31,WORST,2024-02-29,9220.026,776423.237,785643.262
53,SHY,2021-12-31,WORST,2024-03-15,1247.72,996165.975,997413.696
54,SHY,2021-12-31,WORST,2024-04-01,4444.733,182024.896,186469.629
55,SHY,2021-12-31,WORST,2024-04-15,21656.308,0.0,21656.308
56,SHY,2021-12-31,WORST,2024-04-30,12768.563,665543.568,678312.132
57,SHY,2021-12-31,WORST,2024-05-15,28755.902,198709.544,227465.446
58,SHY,2021-12-31,WORST,2024-05-31,42985.206,41634.855,84620.061
59,SHY,2021-12-31,WORST,2024-06-17,17980.233,4061033.195,4079013.428
60,SHY,2021-12-31,WORST,2024-07-01,62.085,0.0,62.085
61,SHY,2021-12-31,WORST,2024-07-15,1604.665,855821.577,857426.242
62,SHY,2021-12-31,WORST,2024-07-31,91.304,8593.361,8684.665
63,SHY,2021-12-31,WORST,2024-08-15,11976.123,809107.884,821084.007
64,SHY,2021-12-31,WORST,2024-09-16,2.513,1340.249,1342.762
65,SHY,2021-12-31,WORST,2024-09-30,2510.718,236302.905,238813.623
66,SHY,2021-12-31,WORST,2024-10-15,21656.308,6930018.672,6951674.981
67,SHY,2021-12-31,WORST,2024-10-31,5425.021,482224.066,487649.087
68,SHY,2021-12-31,WORST,2024-11-15,28507.516,3179697.095,3208204.611
69,SHY,2021-12-31,WORST,2024-12-02,42568.858,5675847.718,5718416.576
70,SHY,2021-12-31,WORST,2024-12-16,12903.942,2580788.382,2593692.324
71,SHY,2021-12-31,WORST,2024-12-31,62.085,5518.672,5580.757
72,SHY,2021-12-31,WORST,2025-02-18,10214.108,1021410.788,1031624.896
73,SHY,2021-12-31,MATURITY,2022-01-06,0.0,39112.365,39112.365
74,SHY,2021-12-31,MATURITY,2022-01-18,4038.763,0.0,4038.763
75,SHY,2021-12-31,MATURITY,2022-01-31,18695.35,0.0,18695.35
76,SHY,2021-12-31,MATURITY,2022-02-15,37962.308,0.0,37962.308
77,SHY,2021-12-31,MATURITY,2022-02-28,37604.503,0.0,37604.503
78,SHY,2021-12-31,MATURITY,2022-03-15,1252.777,0.0,1252.777
79,SHY,2021-12-31,MATURITY,2022-03-31,22663.671,0.0,22663.671
80,SHY,2021-12-31,MATURITY,2022-04-18,26938.061,0.0,26938.061
81,SHY,2021-12-31,MATURITY,2022-05-02,80229.951,0.0,80229.951
82,SHY,2021-12-31,MATURITY,2022-05-16,48100.683,0.0,48100.683
83,SHY,2021-12-31,MATURITY,2022-05-31,80644.28,0.0,80644.28
84,SHY,2021-12-31,MATURITY,2022-06-15,19028.141,0.0,19028.141
85,SHY,2021-12-31,MATURITY,2022-06-30,53042.084,0.0,53042.084
86,SHY,2021-12-31,MATURITY,2022-07-15,4038.763,0.0,4038.763
87,SHY,2021-12-31,MATURITY,2022-08-01,18695.35,684.647,19379.997
88,SHY,2021-12-31,MATURITY,2022-08-15,37962.308,41.494,38003.802
89,SHY,2021-12-31,MATURITY,2022-08-31,37604.503,116.183,37720.685
90,SHY,2021-12-31,MATURITY,2022-09-15,1252.777,0.0,1252.777
91,SHY,2021-12-31,MATURITY,2022-09-30,22663.671,95.436,22759.107
92,SHY,2021-12-31,MATURITY,2022-10-17,26938.061,5780.083,32718.144
93,SHY,2021-12-31,MATURITY,2022-10-31,80229.951,13634.855,93864.805
94,SHY,2021-12-31,MATURITY,2022-11-15,48100.683,6381.743,54482.426
95,SHY,2021-12-31,MATURITY,2022-11-30,80644.28,37531.12,118175.4
96,SHY,2021-12-31,MATURITY,2022-12-15,19028.141,0.0,19028.141
97,SHY,2021-12-31,MATURITY,2023-01-03,53042.084,2112829.046,2165871.13
98,SHY,2021-12-31,MATURITY,2023-01-17,4038.763,0.0,4038.763
99,SHY,2021-12-31,MATURITY,2023-01-31,18688.932,3045257.261,3063946.193
100,SHY,2021-12-31,MATURITY,2023-02-15,37961.997,1212132.78,1250094.777
101,SHY,2021-12-31,MATURITY,2023-02-28,37603.507,2329469.295,2367072.801
102,SHY,2021-12-31,MATURITY,2023-03-15,1252.777,0.0,1252.777
103,SHY,2021-12-31,MATURITY,2023-03-31,22662.802,1456572.614,1479235.416
104,SHY,2021-12-31,MATURITY,2023-04-17,26898.323,2815211.618,2842109.942
105,SHY,2021-12-31,MATURITY,2023-05-01,80094.305,4858379.668,4938473.973
106,SHY,2021-12-31,MATURITY,2023-05-15,48048.831,1282835.685,1330884.516
107,SHY,2021-12-31,MATURITY,2023-05-31,80268.968,1546780.083,1627049.051
108,SHY,2021-12-31,MATURITY,2023-06-15,19028.141,452917.012,471945.153
109,SHY,2021-12-31,MATURITY,2023-06-30,32795.35,1714688.797,1747484.147
110,SHY,2021-12-31,MATURITY,2023-07-17,4038.763,2800734.44,2804773.203
111,SHY,2021-12-31,MATURITY,2023-07-31,829.323,962116.183,962945.506
112,SHY,2021-12-31,MATURITY,2023-08-15,12326.175,148199.17,160525.345
113,SHY,2021-12-31,MATURITY,2023-08-31,16593.286,8076033.195,8092626.481
114,SHY,2021-12-31,MATURITY,2023-09-15,1252.777,8091.286,9344.064
115,SHY,2021-12-31,MATURITY,2023-10-02,16313.941,1025656.846,1041970.787
116,SHY,2021-12-31,MATURITY,2023-10-16,23379.309,2756800.83,2780180.139
117,SHY,2021-12-31,MATURITY,2023-10-31,55350.402,9701655.602,9757006.004
118,SHY,2021-12-31,MATURITY,2023-11-15,37005.648,2257182.573,2294188.221
119,SHY,2021-12-31,MATURITY,2023-11-30,60845.159,1583456.017,1644301.175
120,SHY,2021-12-31,MATURITY,2023-12-15,18461.994,770817.427,789279.422
121,SHY,2021-12-31,MATURITY,2024-01-02,17222.14,2123489.627,2140711.766
122,SHY,2021-12-31,MATURITY,2024-01-16,2288.304,1093821.577,1096109.881
123,SHY,2021-12-31,MATURITY,2024-01-31,91.304,0.0,91.304
124,SHY,2021-12-31,MATURITY,2024-02-15,12233.55,18721.992,30955.542
125,SHY,2021-12-31,MATURITY,2024-02-29,9220.026,776423.237,785643.262
126,SHY,2021-12-31,MATURITY,2024-03-15,1247.72,996165.975,997413.696
127,SHY,2021-12-31,MATURITY,2024-04-01,4444.733,182024.896,186469.629
128,SHY,2021-12-31,MATURITY,2024-04-15,21656.308,0.0,21656.308
129,SHY,2021-12-31,MATURITY,2024-04-30,12768.563,665543.568,678312.132
130,SHY,2021-12-31,MATURITY,2024-05-15,28755.902,198709.544,227465.446
131,SHY,2021-12-31,MATURITY,2024-05-31,42985.206,41634.855,84620.061
132,SHY,2021-12-31,MATURITY,2024-06-17,17980.233,4061033.195,4079013.428
133,SHY,2021-12-31,MATURITY,2024-07-01,62.085,0.0,62.085
134,SHY,2021-12-31,MATURITY,2024-07-15,1604.665,855821.577,857426.242
135,SHY,2021-12-31,MATURITY,2024-07-31,91.304,8593.361,8684.665
136,SHY,2021-12-31,MATURITY,2024-08-15,11976.123,809107.884,821084.007
137,SHY,2021-12-31,MATURITY,2024-09-16,2.513,1340.249,1342.762
138,SHY,2021-12-31,MATURITY,2024-09-30,2510.718,236302.905,238813.623
139,SHY,2021-12-31,MATURITY,2024-10-15,21656.308,6930018.672,6951674.981
140,SHY,2021-12-31,MATURITY,2024-10-31,5425.021,482224.066,487649.087
141,SHY,2021-12-31,MATURITY,2024-11-15,28507.516,3179697.095,3208204.611
142,SHY,2021-12-31,MATURITY,2024-12-02,42568.858,5675847.718,5718416.576
143,SHY,2021-12-31,MATURITY,2024-12-16,12903.942,2580788.382,2593692.324
144,SHY,2021-12-31,MATURITY,2024-12-31,62.085,5518.672,5580.757
145,SHY,2021-12-31,MATURITY,2025-02-18,10214.108,1021410.788,1031624.896
