STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBMN,2021-12-31,MATURITY,2023-08-15,36010.638,0.000,36010.638
IBMN,2021-12-31,MATURITY,2023-09-01,46720.745,0.000,46720.745
IBMN,2021-12-31,MATURITY,2023-09-15,25443.262,0.000,25443.262
IBMN,2021-12-31,MATURITY,2023-10-02,66036.348,0.000,66036.348
IBMN,2021-12-31,MATURITY,2023-10-16,8492.908,0.000,8492.908
IBMN,2021-12-31,MATURITY,2023-11-01,53717.199,0.000,53717.199
IBMN,2021-12-31,MATURITY,2023-11-15,27109.929,0.000,27109.929
IBMN,2021-12-31,MATURITY,2023-12-01,84171.099,0.000,84171.099
IBMN,2021-12-31,MATURITY,2023-12-15,25380.319,0.000,25380.319
IBMN,2021-12-31,MATURITY,2024-01-01,1092.199,0.000,1092.199
IBMN,2021-12-31,MATURITY,2024-01-02,107034.574,0.000,107034.574
IBMN,2021-12-31,MATURITY,2024-01-16,11570.922,0.000,11570.922
IBMN,2021-12-31,MATURITY,2024-02-01,81924.645,0.000,81924.645
IBMN,2021-12-31,MATURITY,2024-02-15,36010.638,0.000,36010.638
IBMN,2021-12-31,MATURITY,2024-03-01,46720.745,0.000,46720.745
IBMN,2021-12-31,MATURITY,2024-03-15,25443.262,0.000,25443.262
IBMN,2021-12-31,MATURITY,2024-04-01,66036.348,0.000,66036.348
IBMN,2021-12-31,MATURITY,2024-04-15,8492.908,0.000,8492.908
IBMN,2021-12-31,MATURITY,2024-05-01,53717.199,0.000,53717.199
IBMN,2021-12-31,MATURITY,2024-05-15,27109.929,0.000,27109.929
IBMN,2021-12-31,MATURITY,2024-06-03,84171.099,0.000,84171.099
IBMN,2021-12-31,MATURITY,2024-06-17,25380.319,0.000,25380.319
IBMN,2021-12-31,MATURITY,2024-07-01,108126.773,0.000,108126.773
IBMN,2021-12-31,MATURITY,2024-07-15,11570.922,0.000,11570.922
IBMN,2021-12-31,MATURITY,2024-08-01,81924.645,0.000,81924.645
IBMN,2021-12-31,MATURITY,2024-08-15,36010.638,0.000,36010.638
IBMN,2021-12-31,MATURITY,2024-09-03,46720.745,0.000,46720.745
IBMN,2021-12-31,MATURITY,2024-09-16,25443.262,0.000,25443.262
IBMN,2021-12-31,MATURITY,2024-10-01,66036.348,0.000,66036.348
IBMN,2021-12-31,MATURITY,2024-10-15,8492.908,0.000,8492.908
IBMN,2021-12-31,MATURITY,2024-11-01,53717.199,0.000,53717.199
IBMN,2021-12-31,MATURITY,2024-11-15,27109.929,0.000,27109.929
IBMN,2021-12-31,MATURITY,2024-12-02,84171.099,0.000,84171.099
IBMN,2021-12-31,MATURITY,2024-12-16,25380.319,0.000,25380.319
IBMN,2021-12-31,MATURITY,2025-01-01,1092.199,7801.418,8893.617
IBMN,2021-12-31,MATURITY,2025-01-02,107034.574,1036170.213,1143204.787
IBMN,2021-12-31,MATURITY,2025-01-15,11570.922,59574.468,71145.390
IBMN,2021-12-31,MATURITY,2025-02-03,81924.645,643262.411,725187.057
IBMN,2021-12-31,MATURITY,2025-02-18,36010.638,778014.184,814024.823
IBMN,2021-12-31,MATURITY,2025-03-03,46720.745,568794.326,615515.071
IBMN,2021-12-31,MATURITY,2025-03-17,25443.262,773758.865,799202.128
IBMN,2021-12-31,MATURITY,2025-04-01,66036.348,610638.298,676674.645
IBMN,2021-12-31,MATURITY,2025-04-15,8492.908,146808.511,155301.418
IBMN,2021-12-31,MATURITY,2025-05-01,53717.199,595035.461,648752.660
IBMN,2021-12-31,MATURITY,2025-05-15,27109.929,439007.092,466117.021
IBMN,2021-12-31,MATURITY,2025-06-01,0.000,28368.794,28368.794
IBMN,2021-12-31,MATURITY,2025-06-02,84171.099,1947801.418,2031972.518
IBMN,2021-12-31,MATURITY,2025-06-16,25380.319,1033333.333,1058713.652
IBMN,2021-12-31,MATURITY,2025-07-01,82172.872,3336170.213,3418343.085
IBMN,2021-12-31,MATURITY,2025-07-15,10081.560,409929.078,420010.638
IBMN,2021-12-31,MATURITY,2025-08-01,66020.390,2961702.128,3027722.518
IBMN,2021-12-31,MATURITY,2025-08-15,16719.858,756737.589,773457.447
IBMN,2021-12-31,MATURITY,2025-09-01,0.000,42553.191,42553.191
IBMN,2021-12-31,MATURITY,2025-09-02,32796.986,1501418.440,1534215.426
IBMN,2021-12-31,MATURITY,2025-09-15,6042.553,242553.191,248595.745
IBMN,2021-12-31,MATURITY,2025-10-01,50840.426,2041134.752,2091975.177
IBMN,2021-12-31,MATURITY,2025-10-15,4822.695,195744.681,200567.376
IBMN,2021-12-31,MATURITY,2025-11-03,38837.766,1602127.660,1640965.426
IBMN,2021-12-31,MATURITY,2025-11-17,16134.752,645390.071,661524.823
IBMN,2021-12-31,MATURITY,2025-12-01,36256.206,1497163.121,1533419.326
